epoch,loss,accuracy,f1,joint_exact_match,risk_mae,validation_score
1,6.715556685129801,0.41,0.3835031055900621,0.31,25.718957824707033,0.25455093167701864
2,6.193571949005127,0.51,0.46370190342811474,0.39,24.425182914733888,0.32035874188109553
3,5.587712446848552,0.59,0.5636903820816864,0.45,21.058556785583495,0.411021546768671
4,4.953759797414144,0.54,0.5302838319088319,0.47,15.083284339904786,0.46975230617360164
5,4.498388385772705,0.55,0.5444222798994768,0.48,8.425766506195068,0.5450690189078924
6,3.8923766136169435,0.56,0.5596222798994768,0.48,4.982965278625488,0.5840570311835882
7,3.6038719177246095,0.57,0.5625811230585424,0.51,3.8635755348205567,0.6096385815693571
8,3.3622209628423056,0.57,0.5706804809576778,0.49,3.8755891609191893,0.6029482526781114
9,3.412715291976929,0.57,0.5625811230585424,0.49,3.899022922515869,0.600284107692404
10,3.132251747449239,0.57,0.5601902312179352,0.5,3.9789209747314453,0.6032678596180661
11,2.9407747904459636,0.57,0.5610557774364225,0.49,4.11654691696167,0.5976512640613101
12,2.9913617332776385,0.54,0.5480914917221368,0.49,4.031350326538086,0.5946139442512601
13,2.883872660001119,0.57,0.5625811230585424,0.49,4.120991821289063,0.5980644187046721
