epoch,loss,accuracy,f1,joint_exact_match,risk_mae,validation_score
1,8.558224805196126,0.01,0.00020833333333333332,0.01,8.340023193359375,0.17116226806640625
2,5.912318420410156,0.01,0.0002,0.01,8.421150856018066,0.17034849143981934
3,5.085734685262044,0.34,0.35833594566353183,0.1,9.47658540725708,0.30773492962648874
4,4.788705348968506,0.51,0.5303678610737435,0.19,8.424914455413818,0.41036121376798484
5,4.4095062732696535,0.51,0.5274621770930594,0.29,6.630117931365967,0.47243747381425816
6,4.224897034962972,0.51,0.526368449443897,0.32,5.279232673645019,0.4991182080967189
7,3.934696992238363,0.56,0.5577828480887305,0.46,7.000745372772217,0.554327400698897
8,3.7755556742350262,0.54,0.5392920634920635,0.44,5.439102592468262,0.5553965931229364
9,3.578012752532959,0.54,0.5458857714857714,0.41,4.742339191436767,0.5508423395313637
10,3.620431963602702,0.54,0.5393923241923242,0.43,5.057702655792236,0.5547406706997748
11,3.6240504582722983,0.54,0.5393923241923242,0.43,5.005184726715088,0.5552658499905463
12,3.61851913134257,0.54,0.5393923241923242,0.43,4.926502532958985,0.5560526719281074
